2026-03-24 16:44:48,350 | __main__ | INFO | W&B run initialized: dutiful-elevator-4
2026-03-24 16:44:48,356 | __main__ | INFO | Loading raw data...
2026-03-24 16:44:48,366 | __main__ | INFO | Raw data loaded: 500 rows, 6 columns
2026-03-24 16:44:48,368 | __main__ | INFO | Cleaning data...
2026-03-24 16:44:48,371 | __main__ | INFO | Clean data: 500 rows, 6 columns
2026-03-24 16:44:48,379 | __main__ | INFO | Validating data schema...
2026-03-24 16:44:48,379 | __main__ | INFO | Validation passed.
2026-03-24 16:44:48,380 | __main__ | INFO | Training model...
2026-03-24 16:44:48,381 | src.features | INFO | Building feature preprocessing recipe...
2026-03-24 16:44:48,385 | __main__ | INFO | Evaluating model...
2026-03-24 16:44:48,388 | __main__ | INFO | Metrics logged to W&B: {'train_f1': 0.75, 'test_f1': 0.72}
2026-03-24 16:44:50,887 | __main__ | INFO | Model artifact 'churn-model' logged with alias 'prod'
2026-03-24 16:44:51,119 | __main__ | INFO | Log artifact uploaded to W&B.
2026-03-24 16:44:55,831 | __main__ | INFO | W&B run finished.
